# Buddhist,TaoTeChing,Upnishad,YogaSutra,BookProverb,BookEcclesiastes,BookEccleasiasticus,BookWisdom
0.946490,0.987368,0.988279,0.985288,0.985110,0.983673,0.986106,0.984352
0.987368,0.956652,0.985725,0.983273,0.978929,0.971089,0.977690,0.975654
0.988279,0.985725,0.969688,0.982779,0.983611,0.977776,0.982527,0.982013
0.985288,0.983273,0.982779,0.961992,0.978363,0.971703,0.977305,0.975711
0.985110,0.978929,0.983611,0.978363,0.857051,0.904746,0.900847,0.923217
0.983673,0.971089,0.977776,0.971703,0.904746,0.794206,0.899813,0.909710
0.986106,0.977690,0.982527,0.977305,0.900847,0.899813,0.870928,0.912158
0.984352,0.975654,0.982013,0.975711,0.923217,0.909710,0.912158,0.857703
